
############## carina - 07/24/20 18:10:17 EDT -0400 ##############

2020-07-24 18:10:17 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2020-07-24 18:10:17 64 bytes from 8.8.8.8: icmp_seq=1 ttl=114 time=55.0 ms
2020-07-24 18:10:19 64 bytes from 8.8.8.8: icmp_seq=2 ttl=114 time=47.9 ms
2020-07-24 18:10:21 64 bytes from 8.8.8.8: icmp_seq=3 ttl=114 time=56.7 ms
2020-07-24 18:10:21 --- 8.8.8.8 ping statistics ---
2020-07-24 18:10:21 3 packets transmitted, 3 received, 0% packet loss, time 4004ms
2020-07-24 18:10:21 rtt min/avg/max/mdev = 47.923/53.219/56.706/3.811 ms

############## carina - 07/24/20 18:11:06 EDT -0400 ##############

2020-07-24 18:11:06 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2020-07-24 18:11:06 64 bytes from 8.8.8.8: icmp_seq=1 ttl=114 time=61.3 ms
2020-07-24 18:11:08 64 bytes from 8.8.8.8: icmp_seq=2 ttl=114 time=47.9 ms
2020-07-24 18:11:10 64 bytes from 8.8.8.8: icmp_seq=3 ttl=114 time=64.4 ms
2020-07-24 18:11:10 --- 8.8.8.8 ping statistics ---
2020-07-24 18:11:10 3 packets transmitted, 3 received, 0% packet loss, time 4005ms
2020-07-24 18:11:10 rtt min/avg/max/mdev = 47.909/57.903/64.487/7.184 ms

############## carina - 07/24/20 23:54:45 EDT -0400 ##############

2020-07-24 23:54:45 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2020-07-24 23:54:45 64 bytes from 8.8.8.8: icmp_seq=1 ttl=114 time=89.7 ms
2020-07-24 23:55:45 64 bytes from 8.8.8.8: icmp_seq=2 ttl=114 time=103 ms
2020-07-24 23:56:45 64 bytes from 8.8.8.8: icmp_seq=3 ttl=114 time=94.0 ms
2020-07-24 23:57:45 64 bytes from 8.8.8.8: icmp_seq=4 ttl=114 time=152 ms
2020-07-24 23:58:45 64 bytes from 8.8.8.8: icmp_seq=5 ttl=114 time=241 ms
2020-07-24 23:59:45 64 bytes from 8.8.8.8: icmp_seq=6 ttl=114 time=195 ms
2020-07-25 00:00:45 64 bytes from 8.8.8.8: icmp_seq=7 ttl=114 time=130 ms
2020-07-25 00:01:45 64 bytes from 8.8.8.8: icmp_seq=8 ttl=114 time=65.8 ms
2020-07-25 00:02:45 64 bytes from 8.8.8.8: icmp_seq=9 ttl=114 time=95.9 ms
2020-07-25 00:03:45 64 bytes from 8.8.8.8: icmp_seq=10 ttl=114 time=111 ms
2020-07-25 00:04:45 64 bytes from 8.8.8.8: icmp_seq=11 ttl=114 time=99.9 ms
2020-07-25 00:05:45 64 bytes from 8.8.8.8: icmp_seq=12 ttl=114 time=107 ms
2020-07-25 00:06:45 64 bytes from 8.8.8.8: icmp_seq=13 ttl=114 time=88.1 ms
2020-07-25 00:07:46 64 bytes from 8.8.8.8: icmp_seq=14 ttl=114 time=152 ms
2020-07-25 00:08:46 64 bytes from 8.8.8.8: icmp_seq=15 ttl=114 time=109 ms
2020-07-25 00:09:46 64 bytes from 8.8.8.8: icmp_seq=16 ttl=114 time=118 ms
2020-07-25 00:10:46 64 bytes from 8.8.8.8: icmp_seq=17 ttl=114 time=128 ms
